web-scraper-order,web-scraper-start-url,club-image-src,club-name,club-description
"1523568745-146","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/4f7da5ff-b8b0-4ba9-8032-ee2454398585670aa00f-1411-4c86-a732-dcba19c3a8ed.jpg?preset=small-sq","Biomedical Engineering Society at UCF","The Biomedical Engineering Society (BMES) serves as the lead society for students devoted to developing and using engineering and technology to advance human health and well-being."
"1523568745-480","https://knightconnect.campuslabs.com/engage/organizations","","P","The mission of Pegasus Politics is to gather UCF students for non-partisan and cross-partisan political discussions as well as hosting activities to foster political engagement as well as educate on governing affairs."
"1523568745-249","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/2e482f1e-72fd-474a-9134-19efeff45b800a482336-b1f8-4e1b-b0cc-35231f30af7b.jpg?preset=small-sq","FACES Modeling Troupe Inc.","Each semester, FACES coordinates a unique fashion show that is sure to captivate and stimulate our community.FACES Prides itself of respect, individuality, family unity, dedication and most of all aiming for academic merit."
"1523568745-390","https://knightconnect.campuslabs.com/engage/organizations","","L","To provide a residence life program that encourages a positive living and learning environment, supportive of students' development in the college community by providing quality opportunities and connections for academic and personal growth."
"1523568745-92","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/81035ba6-ee86-448a-ad2d-2eed8878b61c7162a600-b93d-4a7b-9b4b-c5cc26d7b1d8.jpg?preset=small-sq","American Chemical Society","Professional Development. Community Service. Commitment to Chemistry.
ACS@UCF is the most active student chapter of the American Chemical Society in Florida. We are supremely involved with the community and offer unique STEM-related opportunities."
"1523568745-490","https://knightconnect.campuslabs.com/engage/organizations","","P","Phi Gamma Delta exists to promote lifelong friendships, to reaffirm high ethical standards and values, and to foster personal development in the pursuit of excellence."
"1523568745-364","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/2763c259-1d98-4530-9e64-ababa95cfe4201b15d4f-ce8d-4795-b66a-861111822a02.jpg?preset=small-sq","Knights For Christ","Knights For Christ is an on campus, student-run organization dedicated to spiritual growth and community service!"
"1523568745-147","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/1d6d3f4c-e8d2-4e9d-bb43-462694a703a72b0a3919-088c-4b48-8afb-73e59a04c0a4.png?preset=small-sq","Biomedical Sciences Graduate Student Association","The mission of the BSGSA is to represent the interests of Biomedical Sciences graduate students in all administrative and legislative affairs."
"1523568745-577","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/4afd229a-9620-457e-9b5d-ebdb4a87189a2d9694bc-2bdd-4322-854d-9e7656e19d94.jpg?preset=small-sq","SLS Peer Mentors","For the Peer Mentors in the Strategies for Success program and the SLS 1501 classes."
"1523568745-83","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/175a4d40-2e73-458e-97b6-783acc4ea8308c50050a-b948-437a-b8ce-30923b4a88a2.jpg?preset=small-sq","Alpha Phi Alpha Fraternity, Inc.","Founded on December 4, 1906 on the campus of Cornell University in Ithaca, NY, Alpha Phi Alpha Fraternity, Inc. prides itself in manly deeds, scholarship, and love for all mankind. UCF was graced with the presence of the fraternity on June 16, 1979."
"1523568745-499","https://knightconnect.campuslabs.com/engage/organizations","","P","Pi Delta Psi Fraternity, Inc. is the first and only Asian-based fraternity at UCF. We operate off of four pillars: Academic Achievement, Cultural Awareness, Friendship/Loyalty, and Righteousness."
"1523568745-534","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/da115f46-3c43-40a5-bdd1-743d7bf54730ec31f87b-5680-4be5-98e7-041766110e75.png?preset=small-sq","Ratio Christi @ UCF","Ratio Christi @ UCF equips university students to give historical, philosophical, and scientific reasons for following Jesus Christ."
"1523568745-603","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/6fcd3e5c-77d1-4264-b4e4-a20fb29d21a529d0cae5-3f94-419d-b4ae-cfb3194f798e.jpg?preset=small-sq","Sport Clubs","Sport Clubs Branch"
"1523568745-456","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/c19e6e4d-afde-4cdc-a165-f3382a44e2a2296c9803-b4c3-4b81-bef8-102195595fdf.png?preset=small-sq","Office of Undergraduate Research","Undergraduate research gives students the opportunity to work closely with faculty while having hands-on learning experiences outside of the traditional classroom context."
"1523568745-525","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/8f4e6038-dc01-49af-8b6e-14c6b5bd089253dab245-fe75-4db5-8644-8de908f77122.png?preset=small-sq","Psychology Club - Daytona","We are a Psychology Club, focused on educating majors and non-Psychology majors about the field of Psychology, its applications, and current events in the field. We welcome anyone who's interested in learning something new!"
"1523568745-308","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/65827225-35f8-4588-8bed-57e3fc79b32c32d45b80-f72b-46ba-938d-bad3d66504a8.jpg?preset=small-sq","Honors Congress","Honors Congress is the official student organization of the Burnett Honors College."
"1523568745-498","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/8a5eec9f-c9ae-48fe-a677-58a9cf85251ecd758fd5-165a-4bd8-b52f-b651422fe753.png?preset=small-sq","Pi Delta Phi French Honor Society","Our purpose is to promote the French language and promote French and Francophone cultural awareness."
"1523568745-444","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ae23344c-2009-4022-9221-6221c2d7574c3986f520-e83e-4c56-b725-e6aac8707d4b.jpg?preset=small-sq","Nearly Headless Knights Quidditch","The mission of Nearly Headless Knights Quidditch is to unite UCF students that share a common interest of the Harry Potter series of both book and film, and to provide an opportunity for students to play quidditch competitively against other teams."
"1523568745-369","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/89030548-7502-4e79-ac0a-5cc886324c0f36f27472-b36e-41bb-97ae-7fc81c6aa053.jpg?preset=small-sq","Knights for Socialism","The mission of Knights for Socialism is to take action and stand up against all forms of inequity, oppression, and injustice, while advocating for the establishment of a new society – one that is rooted in a radical sense of equality."
"1523568745-483","https://knightconnect.campuslabs.com/engage/organizations","","P","Phi Alpha Theta History Honor Society encompasses social and academic interests of undergraduate and graduate students at UCF."
"1523568745-169","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/c23d84c0-32d8-4417-baff-8a052b6b50a2ed29a24e-38f7-4e54-b077-57d291e41420.jpeg?preset=small-sq","Central Florida Wesley Foundation","A student community created for the love of Christ, CFL Wesley meets for organized worship services, weekly community groups, mission trips and social hangouts."
"1523568745-252","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/389613d1-c6d5-4632-9c0b-7f0be199229e824c08ff-6095-444f-921a-8dd0b81f63ef.png?preset=small-sq","Fashion Society @ UCF","We are an all inclusive club that helps students of all majors be able to start a successful career in the fashion industry. We focus on what we believe are the four main areas in the industry: Design, Merchandising & Stying, Photography and Modeling."
"1523568745-161","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/55f006d7-8eb9-45c2-ab7b-36a3802ff9be3003db03-9e1c-481c-bd91-dbc3848068db.jpg?preset=small-sq","Campus Peace Action","To turn fear into understanding, intolerance into acceptance, and apathy into action through creativity,  community,  and education at UCF.  
MEETINGS: Every Thursday at 6:00 PM in the Gazebo, next to the Reflecting Pond and in front of the Breezeway"
"1523568745-403","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/b2c3e2b6-a421-40ac-a4ea-806f17890d399c327c33-ab3f-4fbc-b42b-f2bfa0b7e887.JPG?preset=small-sq","Masters in Social Work Student Association","To enhance the graduate education experience through social service activities and community involvement."
"1523568745-503","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/1e00a7da-f6de-4b8e-979a-b3d6d2156aadda241b17-2b88-4836-87ba-0cb2208bd21e.jpg?preset=small-sq","Planned Parenthood Generation Action","Planned Parenthood Generation Action is the student advocacy group of Planned Parenthood of Southwest and Central Florida that works to promote reproductive rights, sexual education, and prevention throughout UCF and the surrounding community."
"1523568745-141","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/0b95ad86-a0d9-43cd-ae30-e8d95e781ed99b0a7213-d4b0-420d-8858-bdc4bb22b253.png?preset=small-sq","Beta Alpha Psi Honorary Accounting Fraternity","The primary objective of Beta Alpha Psi is to encourage and give recognition to scholastic and professional excellence in the business information field."
"1523568745-413","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/a865a820-f099-483f-a710-84447a9d690581c62214-9cd1-40df-9c7c-1aec65c47076.jpg?preset=small-sq","Mid-Knight Mentors","The purpose of Mid-Knight Mentors is to connect high school students that are interested in pursuing a career in the STEM or Healthcare fields with college mentors that can assist them with advice, guidance, and support."
"1523568745-382","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/fc307df5-971e-4f5f-bd22-83c6a891868716b4fc54-c325-48b6-8a21-166bc97e1ead.gif?preset=small-sq","Lambda Alpha Epsilon Pre-professional Criminal Justice Fraternity","LAE is a Pre-professional Criminal Justice Fraternity which focuses on community service and fundraising. We are in charge of two events: Annual Domestic Violence Charity Auction and the Public Service Conference we host with Career Services."
"1523568745-387","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/76240317-372f-44ea-96b9-fc4bff116c317924b476-aa2a-4ec5-a629-5ab2377e0ade.jpg?preset=small-sq","Latin American Student Association","The Latin American Student Association (LASA) strives to strengthen the relationship of the Latino organizations, professionals, and students at UCF by providing a welcoming atmosphere to share their ideas for spreading the culture in the community."
"1523568745-462","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/9920c70c-c277-4678-80df-c302f63476928bc04724-f8c3-4b73-a792-a69be3040a27.gif?preset=small-sq","Operation Smile at UCF","The mission of Operation Smile is to raise spread awareness and raise funds for the activities of the international organization Operation Smile that works worldwide to repair childhood facial deformities."
"1523568745-182","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/f277f518-5343-48b7-a356-19025ae8fd24cf1d8f44-5e05-40d3-b2de-b31d99cf63a1.png?preset=small-sq","Chinese Student and Scholar Association","Chinese Students and Scholars Association (CSSA) seeks to foster a unique appreciation of Chinese culture and provide information on the academic and professional opportunities to all its members and various Chinese communities in Orlando."
"1523568745-397","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/369e8514-d0cf-4610-97be-a3a3635df29ab82cc703-5b11-4c14-a4c0-607ade68aedb.jpg?preset=small-sq","Libra Area Council","The mission of the Department of Housing and Residence Life is to provide students living in university housing with a safe and secure environment that is conducive to academic and personal achievement."
"1523568745-356","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ef415d36-f7e9-4df8-bbb0-8491fdb1ea2384b2a87b-9b92-441a-be96-ca0dcb771756.png?preset=small-sq","Knights and Damsels Dance Company","To provide dancers with an avenue to grow among new age styles of dance by offering training from diverse student and guest choreographers while providing performance and teaching opportunities."
"1523568745-113","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/817ba0b5-d91a-492f-8aee-4b30df8ec51c02d3da36-e758-4678-a464-124ca86f9df3.JPEG?preset=small-sq","Art and Drawing Club","The mission of Art & Drawing Club purpose is to provide an outlet for expression and creativity using art mediums in order to find common ground and develop artistic skills."
"1523568745-338","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ad9fc4b5-bf51-4535-820f-17a62090d07823eede5d-0490-4df6-9560-52ed363d78b5.png?preset=small-sq","Joust Records","The mission of Joust Records is to enhance the entertainment of the University of Central Florida and the community through the development of aspiring artists/bands by building their brand and image through networking and performances."
"1523568745-521","https://knightconnect.campuslabs.com/engage/organizations","","P","To award academic recognition to students who achieve scholastic excellence in the study of psychology while encouraging and stimulating the academic and professional growth of its members."
"1523568745-77","https://knightconnect.campuslabs.com/engage/organizations","","A","To provide training to develop the leadership abilities of cadets to enable them to perform effectively as officers when they enter the US Air Force."
"1523568745-383","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ef94fb96-170b-4bba-b6af-5b571ee7293e85762fd4-688b-4f0b-8737-06bb16ba53a6.jpg?preset=small-sq","Lambda Sigma Upsilon Latino Fraternity Inc.","Lambda Sigma Upsilon Latino Fraternity, Incorporated was founded on April 5th, 1979 at Rutgers University, New Brunswick. Also known as LSUs or Upsilons, their cultural identity symbols is the Taino Indian, and their colors are baby blue and white."
"1523568745-385","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/fd7ded55-7ab3-4d4e-a794-1ffa323c8c3d713028ae-f3bc-4786-8fd8-937a9aa90fdc.png?preset=small-sq","Lambda Theta Phi Latin Fraternity, Inc.","The first Latino Fraternity on UCF campus and in United States. We're a group of professional students focused on academic excellence and assisting the community. The ideals of this brotherhood are Unity, Respect, Brotherhood, Culture, and Pride."
"1523568745-529","https://knightconnect.campuslabs.com/engage/organizations","","Q","Quiz Bowl is an academic competition between two teams in various fields (including Sciences, Arts, Pop Culture, Literature, and more)."
"1523568745-117","https://knightconnect.campuslabs.com/engage/organizations","","A","We are the UCF student branch of the Central Florida Chapter of Associated Builders and Contractors. Our members are students majoring in Construction and/or Civil Engineering, pursuing Careers in Building Construction."
"1523568745-106","https://knightconnect.campuslabs.com/engage/organizations","","A","meriCorps VISTA members are passionate and committed to their mission to bring individuals and communities out of poverty. Members make a year-long, full-time commitment to serve on a specific project at a nonprofit organization or public agency."
"1523568745-406","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/e7c82410-3881-4c7d-af33-8fe0310eebb3a706092f-e6ae-4a1d-9ee3-e94ba76a4d81.jpg?preset=small-sq","Men of Integrity","Men of Integrity is a community service based organization which also focuses on the development of minority males instilling the ideals of leadership, pro-activity, and independence."
"1523568745-606","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/4c253903-a3b7-4111-aea9-249e3f1c0d4639e5b38f-3bac-4525-a337-1e2f12537361.jpg?preset=small-sq","Structural Engineering Institute Graduate Student Chapter","The purpose of SEI Graduate Student Chapter is to enhance the education of the students who are preparing to become structural engineering professionals and engage SEI student members in SEI for a successful transition from college to career..."
"1523568745-562","https://knightconnect.campuslabs.com/engage/organizations","","S","Our mission is to inspire children with disabilities and illnesses (and their siblings) by providing  social, fine motor, and language  enhanced opportunities designed specifically to encourage positive self-esteem and enjoyment through the use of art."
"1523568745-464","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/17097089-c916-4c5d-ac57-6b9d63532d1a3e2786b5-70a5-4e9f-9d12-a8c90d405a97.jpg?preset=small-sq","Order of Omega","The Order of Omega is a leadership society for members of Greek social organizations. The qualifications for membership are based upon one's character, scholarship, service and leadership in the Greek Community."
"1523568745-323","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/a0e8cc86-2dc0-406e-9c8c-6b95696e38501fd09b2e-abb9-4446-b2cd-178f250467ac.jpg?preset=small-sq","Interfraternity Council","Representing 18 fraternities and over 1200 fraternity men, these members are held to a higher standard as we work together to build better men, better leaders, and a better community."
"1523568745-570","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/00fce651-3868-4f24-8421-e3f50b0292f0ac3460b6-c88c-47bc-864b-3b2e050730e8.jpg?preset=small-sq","Sigma Lambda Beta International Fraternity, Inc.","Sigma Lambda Beta International Fraternity is a historically Latino-based social fraternity that was founded in 1986 at the University of Iowa based on cultural understanding and wisdom. We believe in the ideals of fairness, opportunity, and equality."
"1523568745-181","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/e332f47a-5707-4483-9bc4-2124d72bf7599e88b12a-849a-49d0-82f6-28e07f9afc30.jpg?preset=small-sq","Chinese American Student Association","A student organization formed to promote awareness of Chinese-American culture and identity among all members of the UCF community."
"1523568745-221","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ad719819-34e0-439f-ac8c-e2c3901ece02f4a47330-f595-4bd2-8457-0c78833b963e.jpg?preset=small-sq","Delta Sigma Phi","Delta Sigma Phi is a social fraternity that was founded in 1899 and has been at UCF since 2011."
"1523568745-564","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/f5505dc1-8825-4b3b-bab9-ad59dbdd26f8e90a223b-66e8-404a-9c1b-d36c3be12cbd.jpg?preset=small-sq","Shift","SHIFT’s mission and heart is to proclaim the Gospel of Jesus Christ, explore culture from a Biblical perspective, aim to see each other come alive, to be renewed by the transforming love of Jesus Christ, and to truly follow Him as Lord and Savior."
"1523568745-344","https://knightconnect.campuslabs.com/engage/organizations","","K","Aspire to be."
"1523568745-164","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/010372ad-9bab-4602-bd4a-75b4f076e680a231421d-0916-40de-ac76-52d4dfa13e74.jpg?preset=small-sq","Career Services","Career Services contributes to the UCF's goal of offering high quality  education and student development by providing centralized, comprehensive and coordinated career development, experiential learning and employer relations programs"
"1523568745-435","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/816e964c-4569-4d3c-96b0-b75596ca9ec391c7c0aa-de6d-4872-949c-c4238a8c20a5.jpg?preset=small-sq","National Residence Hall Honorary","We are the ""Top 1%"" of Student Leaders living in UCF Housing! The mission of National Residence Hall Honorary is to provide recognition of on-campus residents who have made outstanding contributions to the residence hall and campus communities."
"1523568745-493","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/9ea352d1-2a02-4626-8f85-24808ee825789f655dc0-68cb-4b0b-9724-21312e8a12c0.jpg?preset=small-sq","Philosophical Society","We discuss philosophy, how it interacts with the world around us, and how it helps us understand the world in which we interact."
"1523568745-109","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/83d170aa-5767-4977-adde-24df4a3042b65ec5f98b-e58c-4b4b-8a17-c0417d484a0c.png?preset=small-sq","Antioch Orlando College Ministry","Antioch Orlando College Ministry exists to transform lives and mobilize passionate followers of Jesus to make disciples in all nations with the gospel."
"1523568745-234","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/68e0fab6-d25d-4235-b776-0783d4b76579298faa3e-3303-4985-82a8-8f18cc85340c.png?preset=small-sq","Economic Studies Consortium","The mission of the Economic Studies Consortium is to promote professional and academic development for Economics students through active networking, research opportunities, and business outreach."
"1523568745-253","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ea629c2b-7283-48f3-8a4e-50eb6633657e31829170-e89b-4c59-bf28-ef479309f4d5.jpg?preset=small-sq","Fencing Club @ UCF","Open to students of all skill levels, we offer lessons, provide all necessary gear, and provide the opportunity to compete. Open practices are MW 6:15 - 8:15 PM and Sat 5:15 - 7:15  PM, with competitive-only practice Sat 4:15 - 5:15 PM."
"1523568745-133","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/d9b57fc3-b10e-43e5-b71d-9bb535967413151c5a06-b027-4dd7-8dd6-8351e6fcb101.jpg?preset=small-sq","Baha'i Club","A place where people of any religion, who are concerned for the betterment of their community, can get together in worship and service to the Orlando and UCF community."
"1523568745-233","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/691cbdb5-5312-4958-9bfc-946a4086ed09ce70ba33-7dcf-4693-963b-0b60e7da2786.png?preset=small-sq","Dreamers at UCF","Dreamers UCF seeks to create a safe platform for undocumented, TPS and DACA students at UCF. The organization is committed
to strengthening the relations between students, faculty and the administration at the university."
"1523568745-375","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/c4f1b6e4-74ac-46b3-9920-cb04120aeb69a4d4878b-9120-40ce-aeec-8279ee07f8a1.gif?preset=small-sq","Knights of the RoundTable","Knights of the RoundTable is an advisory council that serves as an educational resource to all student organizations and as a liaison between the organizations and the UCF community."
"1523568745-259","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/36685f9a-a4fe-49ba-ba97-576cb907b6fb601de8f4-f448-4f63-9c87-fd996044c24c.jpg?preset=small-sq","First Knights","The mission of First Knights is to foster an environment conducive to establishing a foundation for first-generation students’ academic, social, and financial success."
"1523568745-584","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/ef4ba045-ddb2-4cf2-9b88-3db165b212b947cfac9f-4321-4000-9bb8-f17d5b803540.jpg?preset=small-sq","Society of Automotive Engineers","The Society of Automotive Engineers Collegiate chapter at UCF comprises of two teams, a Formula team and a Baja team. Each year both teams design build and compete a student built vehicle at competitions across the United States."
"1523568745-90","https://knightconnect.campuslabs.com/engage/organizations","","A","To provide the federally regulated/mandated public service of Amateur Radio to the UCF community0which includes disaster and emergency communications."
"1523568745-242","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/b1c1bab9-80a2-4b62-9376-fcf7a81093feba412925-310a-4d44-8c3a-3ea1df761e8a.png?preset=small-sq","Entertainment Wrestling Organization","The mission of Entertainment Wrestling Organization is to unite the students at the University of Central Florida who are fans of WWE, World Wrestling Entertainment."
"1523568745-368","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/c4a93f03-2849-4562-b021-123caa92aa87a3df3a7d-f859-4eae-a3be-472f17b6a65d.jpg?preset=small-sq","Knights for Marine and Wildlife Conservation","KMWC inspires student involvement in conserving the habitats of wild animals and plant life through volunteer activities. By raising awareness in the community, we educate the general public of the dangers presented to both local and global environments."
"1523568745-399","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/f573db02-0b90-45b8-a802-8dc4bcb4c10eba0e5f50-bee7-4ac9-8bb0-0b655eb8b5a8.png?preset=small-sq","LINK","LINK (Learning and Interacting with New Knights) is an education and involvement-based program to help students new to UCF get involved on campus."
"1523568745-551","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/93a9cbea-c9a8-45c4-be1b-8e09726c579675f45db5-8612-4b9a-8eb2-2c725a863baa.png?preset=small-sq","RSO Resources","Welcome!
Explore our tabs for more information."
"1523568745-407","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/58158775-997c-4a11-9e8e-90b54861540282748efa-f5c9-48d1-92a4-6ae99b77e654.jpg?preset=small-sq","Men's Club Soccer @ UCF","We are a competitive soccer team here at UCF. We play against teams from all over. The team has had much success the last three years building a respectable reputation in the south east region. If you are interested in trying out for the team, please g..."
"1523568745-299","https://knightconnect.campuslabs.com/engage/organizations","","H","To inform the public about different health topics and to give peers the chance to educate and involve themselves with the primary prevention of diseases in their community."
"1523568745-291","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/af874832-e45e-4d87-a1fb-0c95d51d2a22a6a4ef2f-ead1-4f5b-b1e4-fa5d9d3c2095.jpg?preset=small-sq","Gun Club","To encourage the enjoyment of firearms in a safe and responsible manner."
"1523568745-386","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/54956649-0f3c-49d0-8171-0b00db88bc66a592382a-2156-414c-815a-284f8a10817a.png?preset=small-sq","Late Knights","The mission of Late Knights is to function as a student run program under the Office of Student Involvement (OSI) whose purpose is to provide late-night alcohol alternative programming in a safe and convenient location for students."
"1523568745-99","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/c8370ea7-f5f1-4f6f-aa17-45e53191ab4d8ba8a52f-b3d3-4a6a-860f-bfda2b6a6a91.jpg?preset=small-sq","American Society for Microbiology - Student Branch","To provide information about molecular biology and microbiology careers and opportunities while meeting fellow science students socially and in community service activities."
"1523568745-505","https://knightconnect.campuslabs.com/engage/organizations","","P","The mission of Praesentarius is to connect students from The University of Central Florida who are over twenty-five years of age and responsible for the full-time care of another individual(s) to each other."
